user_id,user_name,movie_id,movie_name,user_rating
339,khernandez,7936,Los verduleros 2,6.7
400,theodore33,6357,The Amityville Harvest,8.5
86,jessebarrera,8815,Pieces of a Woman,6.4
842,bruce43,6321,Desperately Seeking Susan,6.3
111,cclark,3853,The Many Adventures of Winnie the Pooh,6.0
835,mfrederick,6978,Bewitched,2.0
955,pjimenez,1285,Dragon Ball Z: Lord Slug,9.8
335,mhernandez,9306,Mira,5.9
88,fergusonjacob,3914,Batman: Under the Red Hood,5.2
830,vdodson,7104,The First Time,7.2
369,cherylboyd,4757,Emmanuelle: The Joys of a Woman,3.6
326,reynoldswilliam,6033,Virgin Breaker Yuki,8.8
694,nvasquez,8067,Scooby-Doo! and the Samurai Sword,2.4
617,brandirodriguez,2134,The Lego Movie,8.4
959,murrayjose,6054,The Reaping,3.4
551,jonesjanice,6203,The Ten Commandments,3.2
281,alandavis,3446,The Bear,7.4
496,john91,1696,The Redeem Team,7.0
530,jeansmith,3109,Bambi II,7.3
760,esmith,4848,Another Earth,8.0
414,peter69,5543,Hostiles,5.9
290,wboyd,3141,Return to the Blue Lagoon,3.5
843,agonzalez,8064,Love Hard,8.0
776,vmooney,1340,Indiana Jones and the Temple of Doom,1.9
675,davidlawrence,5737,Gabriel's Inferno: Part III,5.0
2,johncobb,8085,C.I.Ape,8.1
281,alandavis,3669,Benny Loves You,1.2
154,zlarson,9567,Kaliwaan,6.6
233,uhess,7325,Under the Sea: A Descendants Story,6.1
495,nicholaswells,10068,Shortcut to Happiness,7.4
882,jaredoliver,6135,Arctic Predator,7.2
308,maryfitzpatrick,9055,3 Ninjas Knuckle Up,1.2
501,janicewilliams,1927,The Grudge,7.6
569,shawn79,8731,Duplex,2.7
243,lopezcarly,10102,Harsh Times,4.7
897,christinatucker,7714,Mainstream,1.5
248,dthompson,6842,Piranhaconda,5.9
997,ojordan,3218,Viking Quest,7.6
860,ramostheresa,8552,Take Point,9.8
900,richardsonmartha,1966,His Only Son,8.4
589,kylevaldez,4936,The Good Son,9.5
105,sloanjennifer,9667,Scooby-Doo! Mask of the Blue Falcon,4.7
388,svargas,7094,Christiane F.,7.9
477,codyhale,4823,New Initial D the Movie - Legend 2: Racer,3.8
589,kylevaldez,2282,Ride Your Wave,9.0
682,joshua25,2305,Young Aunt 3,2.5
65,barbara66,4463,All Quiet on the Western Front,4.1
435,ymueller,1224,Beauty Salon: Special Service 3,2.2
433,roberthernandez,580,Chernobyl: Abyss,2.6
36,timothymartinez,9388,Blown Away,5.4
107,mcdonaldrobert,8513,Nazi Overlord,5.0
145,eross,1757,"As Above, So Below",7.2
685,keith89,596,Trolls World Tour,4.2
524,ydixon,4288,Fallen Angels,9.0
583,epope,7070,Ride Along,5.5
354,samanthalopez,3494,Hot Shots!,6.9
982,nicholas93,4803,The Other Woman,1.4
240,dburns,9154,Bangkok Dangerous,8.6
44,bucksamantha,5465,Sweet Home Alabama,2.2
588,mckinneythomas,8461,Bad Country,1.2
154,zlarson,8615,Them!,8.8
444,maryhernandez,2912,It Boy,7.6
189,jessica23,281,Eternals,9.9
957,willismary,6903,The Cell,3.0
895,natalie74,3297,Mission «Sky»,6.6
215,todd47,310,Titanic,9.4
676,xvaughan,9414,Lost and Delirious,8.0
814,beltranrandall,4727,The Girl in the Spider's Web,6.0
731,katherine04,1747,Sonic Drone Home,1.5
124,hernandezmelissa,8121,Dennis the Menace Strikes Again!,2.7
663,anthonydougherty,4428,Suspiria,9.8
992,alejandrafry,9816,The Haunting of Margam Castle,6.2
532,mward,6022,"No Retreat, No Surrender",4.9
551,jonesjanice,7296,The Remains of the Day,3.8
232,ulynch,2315,Jesus of Nazareth,6.3
495,nicholaswells,9332,Mulholland Falls,3.7
310,kevinclark,5835,Moonlight,7.3
565,jennifer56,18,The Devil Conspiracy,8.9
203,igriffith,8265,Purpose of Reunion,9.9
283,haneyjeffrey,1351,Little Women,5.3
171,anthony95,1072,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,1.1
545,williamgriffin,1425,The Darker the Lake,4.9
579,gavin84,1926,The Grudge,6.5
146,sean48,9910,BIA: An Upside Down World,2.9
194,clinebrian,1239,The Immaculate Room,8.0
801,wjones,451,Twilight,3.1
536,rodneyfloyd,8270,A Dark Place,7.7
446,proctorbrandon,9858,The Golden Lotus,4.7
657,ywagner,5762,Wyrmwood: Road of the Dead,1.6
746,lauren11,7786,Haikyuu!! The Movie: The End and the Beginning,6.0
210,bmack,1269,Jupiter Ascending,4.1
123,treynolds,5354,Cheaper by the Dozen 2,2.4
426,shelley37,4806,Armour of God,5.7
898,itaylor,10163,K.G.F: Chapter 2,7.4
262,oforbes,7005,The Gift,1.8
652,khanjoshua,8417,Throne of Blood,5.4
784,bryantchad,1222,Quo Vadis,4.4
299,kgarcia,3478,On the Third Day,2.6
343,alex04,2649,Bleeding Steel,5.0
750,bakermichael,1795,"Yes, No, or Maybe Half?",3.0
687,slove,9117,One Crazy Summer: A Look Back at Gravity Falls,6.9
727,pblake,7513,The Captive,9.7
292,lisabarnes,2780,Pinocchio,5.0
985,brownjoseph,4919,Taxi 4,9.5
919,beth68,3895,Princess Protection Program,3.9
371,ihill,5092,The Nut Job,7.5
311,tanyajones,4467,Johnny,3.5
615,paultaylor,6063,Smokin' Aces,4.4
601,luke26,5625,Swamp Thing,1.5
153,ellisjoseph,7572,The Shepherd: Border Patrol,5.9
853,jennifer20,3255,Emmanuelle in Hong Kong,5.0
596,andersonbobby,5077,Bad Moms,7.9
608,austinlove,3297,Mission «Sky»,1.8
619,josehiggins,8792,The Day of the Jackal,4.1
631,tross,74,Arctic Void,2.7
849,rodriguezangela,5006,The Grudge 3,4.6
337,alexaaguirre,9328,Kung Fu Dunk,3.0
958,yrojas,861,The Twilight Saga: New Moon,3.6
711,emmamyers,4569,What Women Want,7.7
927,shanebrown,7942,The Girl Who Kicked the Hornet's Nest,8.8
414,peter69,3495,Death Race: Beyond Anarchy,9.7
281,alandavis,826,Ashfall,2.1
190,amy93,2366,How Funny Can Sex Be?,8.0
160,susan54,8489,I'm a Porn Star: Gay 4 Pay,4.2
979,xcrawford,2659,Trigger Point,3.4
156,ashley80,6857,Rough Night,7.3
357,vincentdavid,3468,Octopussy,9.9
541,richard50,8815,Pieces of a Woman,6.7
627,bryan09,8900,Kung Fu Panda Holiday,3.0
560,dianataylor,6865,Free State of Jones,10.0
267,johnsonrandy,4327,X,7.8
262,oforbes,599,Toy Story 3,6.0
423,steven99,4643,Aloha Scooby-Doo!,6.9
674,adamskimberly,8630,Blade of the Immortal,3.3
712,dvargas,8987,The Light Between Oceans,9.1
498,riverasusan,3289,Night Hunter,2.1
5,hlopez,4761,Captive State,2.6
861,fspears,7006,Rogue City,5.9
12,raymond58,4773,Racing Stripes,7.9
502,dalewhite,6725,La Haine,6.7
51,jeffreyorr,2081,Phineas and Ferb: The Movie: Candace Against the Universe,7.2
601,luke26,7012,The Nutcracker: The Untold Story,1.0
21,tina71,4583,A Forbidden God,8.4
433,roberthernandez,4,Mummies,3.4
545,williamgriffin,573,Avatar: Creating the World of Pandora,4.3
744,randygilbert,5373,The Specialist,10.0
796,zreynolds,997,Goblin Slayer: Goblin's Crown,8.5
455,speterson,5047,Trouble,3.4
8,hcooper,8109,The Agony and the Ecstasy,9.2
27,jeffrey80,2152,Scoob!,7.3
460,rachel84,235,The Northman,1.3
102,wagnermary,5054,The Great Dictator,6.8
696,kathleenwatson,6146,Hal,2.4
679,davischeyenne,5471,Police Academy 4: Citizens on Patrol,1.9
599,vmack,779,Just Love and a Thousand Songs,2.5
417,cperry,4021,Lake Placid vs. Anaconda,5.3
785,donaldfox,141,Disenchanted,2.9
462,dickersonshirley,4488,Dreamcatcher,2.0
80,gail64,9508,Midnight Party,6.3
455,speterson,5291,Wheels on Meals,1.5
752,haleyguerrero,3614,Batman & Robin,3.9
66,shannonbryan,6206,Black Box,6.2
603,joyceblanchard,4728,My Friend's Mom,6.5
790,sharon12,1657,The Nativity Story,2.4
600,gregory11,2409,Star Wars: Episode II - Attack of the Clones,5.0
955,pjimenez,5318,Transformers: Dark of the Moon,2.6
410,michaelwilliams,4627,Inheritance,2.3
456,deborahjohnson,3963,Mac & Devin Go to High School,9.0
179,whitejacob,266,Monstrous,1.9
827,gregorybrock,9515,The Homesman,6.4
644,meyernathaniel,1194,The Boy in the Striped Pyjamas,5.3
985,brownjoseph,5652,Driving Miss Daisy,2.4
510,andersonpaul,8994,Island of Fire,6.4
560,dianataylor,8566,Riot,3.5
70,justinjohnson,9423,The Emperor of Paris,8.6
311,tanyajones,8630,Blade of the Immortal,6.4
114,meganjensen,1497,Lawrence of Arabia,9.8
190,amy93,3407,His House,3.1
714,mariechapman,6389,Last Vegas,8.4
626,amy56,2965,Mavka: The Forest Song,8.7
949,heather91,6322,Death Warrant,5.6
823,laurieoconnor,5848,Mojin: The Lost Legend,8.3
740,iwhite,2279,Star Wars: Episode I - The Phantom Menace,5.0
512,ashleyvasquez,3762,Groundhog Day,2.1
813,xcox,3355,Secretary Rope Discipline,2.1
805,carrtyrone,5597,The Witches,1.5
862,mitchellmichael,1246,Descendants,8.8
109,reynoldsrachael,155,Operation Fortune: Ruse de Guerre,3.6
186,zhayden,9268,Collision Earth,2.2
610,pperkins,9143,Tales from the Crypt,7.4
293,cory26,6467,Obsession,9.6
389,kristyrobertson,1112,The Exorcism of Emily Rose,5.4
835,mfrederick,9432,One Fine Day,4.9
910,shannon08,5875,Carol,5.1
891,stephenwhite,5904,Nice Sister-In-Law 2019,4.8
987,frankbright,1586,Sex Exchange,2.6
646,mcdowellchad,9913,Superman II: The Richard Donner Cut,4.4
255,murillocandace,3663,Dragonflies,8.6
999,matthewwilliams,3402,How to Be a Latin Lover,5.0
225,edwardsjoshua,10143,The Mission,6.5
644,meyernathaniel,2592,The Hitman's Bodyguard,9.0
97,nicholastucker,3935,Inside Man,2.0
654,louis66,2084,Assassin's Creed,4.0
431,christopherwilliams,6975,The Con Is On,5.2
198,anthony25,972,Jesus Christ Superstar,3.6
296,julie65,7345,The Jurassic Games,4.5
224,dmitchell,5690,Last Holiday,7.0
767,jburgess,1383,Bromates,5.1
215,todd47,10074,The Last Starfighter,4.1
305,ljones,5999,Better Watch Out,5.1
724,jennifermccoy,8793,Utøya: July 22,1.5
641,eclark,4569,What Women Want,2.9
933,austin28,9310,Temptation Summary,1.9
309,benjaminosborne,4248,Spectre: Genesis,6.1
713,morgancynthia,7864,Emmanuelle in Space 4: Concealed Fantasy,4.7
380,jillpatterson,10172,The Seven Deadly Sins: Prisoners of the Sky,7.3
951,aharrington,3133,Cinderella,2.4
98,pereztimothy,1393,Aliens vs Predator: Requiem,9.0
497,russelllaurie,1850,The Grey,5.3
782,kyoung,5233,In the Shadow of the Moon,3.0
928,austin06,9027,Operation Y and Other Shurik's Adventures,1.6
962,alexachristensen,9982,Ricochet,9.2
296,julie65,6524,Overlord: The Undead King,2.1
417,cperry,4922,13:14: The Challenge of Helping,8.8
223,michael26,1648,Van Helsing,1.4
463,michaelmaxwell,5094,A Walk in the Clouds,5.2
298,greenstephen,2724,Rurouni Kenshin Part I: Origins,3.4
793,qcooper,9113,Yi Yi,8.3
56,kshaw,4537,Till We Meet Again,4.1
622,baileybrittany,1476,Ocean's Eight,8.6
191,campbellryan,6765,Lamb,2.6
487,harristeresa,6313,The Mauritanian,7.5
525,hgreen,6819,The Boss Baby: Get That Baby!,8.2
970,bcurtis,1131,La Llorona,10.0
994,john09,2756,No Game No Life: Zero,2.3
835,mfrederick,4831,Overboard,8.8
801,wjones,4306,The Spy Next Door,9.1
907,tina30,6092,Just Say Yes,6.3
84,zhicks,10008,Crying Freeman,6.3
440,carterkeith,3717,Z-O-M-B-I-E-S,2.0
91,campbellsusan,5208,Little Nicky,9.8
531,burkelauren,6816,Detective Conan: Full Score of Fear,1.6
962,alexachristensen,3729,Pokémon: Lucario and the Mystery of Mew,3.1
389,kristyrobertson,3590,This Is the End,6.9
827,gregorybrock,9704,Kicks,9.2
911,mia97,5444,The Night Parade,3.5
645,brownkathleen,6274,Dr. Strange,4.3
216,ebutler,2532,Overlord,3.6
764,petersonangela,8997,The Misfits,6.3
985,brownjoseph,9458,Out of the Clear Blue Sky,3.1
141,heatherwallace,4359,Adore,1.4
415,nwhite,7287,Pokémon: Destiny Deoxys,8.0
209,ksilva,10117,The Beyond,5.0
231,hkline,9406,Winnetou 1: Apache Gold,4.5
144,mark13,2717,Fugitive: The Curious Case of Carlos Ghosn,6.0
655,rebecca81,3265,Mermaid Down,4.7
754,theodore37,2244,Saw V,3.0
278,astevens,6644,A Higher Law,3.0
59,charles33,10088,DADDY OWL!!!,4.0
144,mark13,8028,A Princess for Christmas,4.3
684,peter59,7508,Falling Inn Love,8.9
264,jsavage,621,Apocalypto,7.5
479,ryangregory,2660,The Nutcracker and the Four Realms,7.9
595,csullivan,3081,42,6.4
908,barry15,7432,Serenity,8.9
744,randygilbert,4653,The Poughkeepsie Tapes,9.1
412,briancox,1888,Legally Blonde,1.5
748,robin39,5957,The Green Hornet,2.5
402,audrey78,9751,Alice Under the Table,1.5
389,kristyrobertson,5951,Flowers in the Attic,3.1
254,sdominguez,402,Cars,7.9
393,perezholly,9868,Still Out of My League,6.7
621,sbell,9025,Geek Charming,3.0
716,mcphersoncourtney,1185,Hercules,4.3
698,tanner63,3261,The Pacifier,2.6
